agency_idbb,agency_name,agency_url,agency_timezone,agency_phone,agency_lang
100058,ABuss OÜ,http://www.peatus.ee,Europe/Tallinn,+372 53585411,et
2,Adraku Transport OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5148269,et
71,Aktsiaselts Hansa Bussiliinid,http://www.peatus.ee,Europe/Tallinn,+372 4334302,et
31,Aktsiaselts MK Autobuss,http://www.peatus.ee,Europe/Tallinn,"",et
632,Arilix OÜ,http://www.vaikebussid.ee,Europe/Tallinn,+372 5172166,et
273,Arne Auto OÜ,http://www.arneauto.ee,Europe/Tallinn,+372 56651259,et
100040,Askälä Grupp OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5293927,et
78,AS Lux Express Estonia,http://www.luxexpress.eu,Europe/Tallinn,+372 6813471,et
219,Asunduse osaühing,http://www.asunduse.ee,Europe/Tallinn,+372 5273986,et
100047,Atko Bussiliinid AS,http://www.peatus.ee,Europe/Tallinn,"",""
100046,ATKO Liinid OÜ,http://www.peatus.ee,Europe/Tallinn,"",""
289,Automen OÜ,http://www.automen.ee/,Europe/Tallinn,+372 7425725,et
100,Bussipartner OÜ,http://www.peatus.ee,Europe/Tallinn,+372 50 460 69,et
100041,Eesti Buss OÜ,http://www.peatus.ee,Europe/Tallinn,+372 6064969,et
7,Ekspress-Auto L Osaühing,http://www.ekspressautol.ee,Europe/Tallinn,+372 33 79 040,et
82,ELRON,http://www.elron.ee,Europe/Tallinn,1447,et
100043,Estonian Lines OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5188493,et
804,Esvil-Reisid AS,http://www.peatus.ee,Europe/Tallinn,+372 6004353,et
100037,Forcen Grupp OÜ,http://www.forcen.ee,Europe/Tallinn,+372 5135279,et
60,GoBus AS,http://www.gobus.ee,Europe/Tallinn,+372 736 2290,et
295,Hansabuss AS,http://www.hansabuss.ee,Europe/Tallinn,+372 6713260,et
12,Hargla Masinaühistu,http://www.peatus.ee,Europe/Tallinn,+372 76 98 735,et
14,Harri Luht,http://www.peatus.ee,Europe/Tallinn,+372 5183662,et
171,Heiki Truuvelt,http://www.peatus.ee,Europe/Tallinn,+372 43 32556,et
16,H-Liinid AS,http://www.hot.ee/tsbus,Europe/Tallinn,+372 5010815,et
100021,Karter OÜ,http://www.karter.ee,Europe/Tallinn,+372 4333364,et
100002,Kihnu Veeteed AS,http://www.veeteed.com,Europe/Tallinn,+372 4431069,et
100045,Liinamäe Reisid OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5046116,et
25,L&L Aktsiaselts,http://www.peatus.ee,Europe/Tallinn,+372 56612700,et
27,Lüganuse HVM Osaühing,http://www.hot.ee/h/hvmlyganuse/avaleht.htm,Europe/Tallinn,+372 5079542,et
317,MK Reis-X OÜ,http://www.reis.ee,Europe/Tallinn,+372 5101872,et
227,MRP Linna Liinid OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5254747,et
100027,NAJA OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5540170,et
100026,OSAÜHING FREMANTI,http://www.peatus.ee,Europe/Tallinn,+37256904537,et
100057,osaühing KNUTBUSS,http://www.peatus.ee,Europe/Tallinn,+372 5153517,et
100054,Osaühing VasNa,http://www.peatus.ee,Europe/Tallinn,+372 5115434,et
100025,OV Ida-Bus OÜ,http://www.peatus.ee,Europe/Tallinn,+372 5358 6017,et
100036,PRESTO osaühing,http://www.presto.ee,Europe/Tallinn,4475177,et
100015,Rapla Bussipark OÜ,http://www.peatus.ee,Europe/Tallinn,+372 56248010,et
185,Reinhald Pihlak,http://www.peatus.ee,Europe/Tallinn,+372 5147629,et
208,REMFAKT OÜ,http://www.remfakt.ee,Europe/Tallinn,+372 5055341,et
99,Samat AS,http://www.samat.ee,Europe/Tallinn,+372 6779663,et
47,Sarbuss AS,http://www.sarbuss.ee,Europe/Tallinn,+372 4533660,et
48,Sareta Aktsiaselts,http://www.sareta.ee,Europe/Tallinn,+372 45 33210,et
50,SEBE Aktsiaselts,http://www.sebe.ee,Europe/Tallinn,+372 6064969,et
100030,Sirel Reisid OÜ,http://sirelreisid.com/,Europe/Tallinn,+372 5152849,et
100010,StimReis Osaühing,http://www.peatus.ee,Europe/Tallinn,+372 5096798,et
220,Taisto Express OÜ,http://www.taisto.ee,Europe/Tallinn,+372 56257001,et
231,Taisto Liinid OÜ,http://www.taisto.ee,Europe/Tallinn,1882,et
56,Tallinna Linnatranspordi AS,http://www.tallinnlt.ee/,Europe/Tallinn,+ 372 6509500,et
711,Taub Grupp OÜ,http://www.taub.ee,Europe/Tallinn,+372 53541958,et
117,Temptrans AS,http://www.temptrans.ee,Europe/Tallinn,+372 6006022,et
100053,T&T transport OÜ,http://www.peatus.ee,Europe/Tallinn,56356124,""
869,Tõnu Tours OÜ,http://tonutours.onepagefree.com/,Europe/Tallinn,+372 56624522,et
100031,Vahesaar OÜ,http://www.mkg.ee,Europe/Tallinn,+372 5205490,et
494,Viimars OÜ,http://www.peatus.ee,Europe/Tallinn,+372 6109310,et
112,Vilandert OÜ,http://www.vilandert.ee,Europe/Tallinn,+372 50 94 043,et
586,Võru Taksod OÜ,http://www.vtakso.ee,Europe/Tallinn,+372 7820002,et
74,Vändra Karu Osaühing,http://www.vandrakarureis.ee,Europe/Tallinn,+372 4474757,et
0,Teadmata,http://www.peatus.ee,Europe/Tallinn,"",
