fare_id,price,currency_type,payment_method,transfers,agency_id
196,1.25,EUR,0,0,25
197,1.35,EUR,0,0,25
198,0.95,EUR,0,0,25
199,1.80,EUR,0,0,25
200,1.65,EUR,0,0,25
201,2.30,EUR,0,0,25
202,2.00,EUR,0,0,25
203,2.20,EUR,0,0,25
204,2.15,EUR,0,0,25
205,1.30,EUR,0,0,25
206,1.95,EUR,0,0,25
207,0.95,EUR,0,0,100046
208,1.10,EUR,0,0,100046
209,1.90,EUR,0,0,100046
210,2.80,EUR,0,0,100046
211,1.50,EUR,0,0,100046
212,2.45,EUR,0,0,100046
213,1.85,EUR,0,0,100046
214,1.65,EUR,0,0,100046
215,1.95,EUR,0,0,100046
216,2.35,EUR,0,0,100046
217,1.80,EUR,0,0,100046
218,1.70,EUR,0,0,100046
219,2.65,EUR,0,0,100046
220,2.25,EUR,0,0,100046
221,2.05,EUR,0,0,100046
222,2.00,EUR,0,0,100046
223,2.15,EUR,0,0,100046
224,2.20,EUR,0,0,100046
225,2.70,EUR,0,0,100046
226,2.50,EUR,0,0,100046
227,2.10,EUR,0,0,100046
228,2.60,EUR,0,0,100046
229,1.75,EUR,0,0,100046
230,2.85,EUR,0,0,100046
231,2.95,EUR,0,0,100046
232,2.75,EUR,0,0,100046
233,2.90,EUR,0,0,100046
234,2.55,EUR,0,0,100046
235,2.40,EUR,0,0,100046
236,0.60,EUR,0,0,586
237,0.65,EUR,0,0,586
238,0.80,EUR,0,0,586
239,1.65,EUR,0,0,586
240,0.90,EUR,0,0,586
241,1.35,EUR,0,0,586
242,1.45,EUR,0,0,586
243,1.30,EUR,0,0,586
244,1.00,EUR,0,0,586
245,1.25,EUR,0,0,586
246,0.85,EUR,0,0,586
247,1.80,EUR,0,0,586
248,0.75,EUR,0,0,586
249,2.10,EUR,0,0,586
250,1.55,EUR,0,0,586
251,1.15,EUR,0,0,586
252,1.85,EUR,0,0,586
253,1.90,EUR,0,0,586
254,1.75,EUR,0,0,586
255,1.05,EUR,0,0,586
256,1.10,EUR,0,0,586
257,1.60,EUR,0,0,586
258,1.70,EUR,0,0,586
259,2.70,EUR,0,0,60
260,2.60,EUR,0,0,60
261,2.95,EUR,0,0,60
262,2.80,EUR,0,0,60
263,3.00,EUR,0,0,60
264,2.90,EUR,0,0,60
265,2.75,EUR,0,0,60
266,2.85,EUR,0,0,60
267,1.45,EUR,0,0,100047
268,1.85,EUR,0,0,100047
269,1.80,EUR,0,0,100047
270,2.50,EUR,0,0,100047
271,2.30,EUR,0,0,100047
272,2.10,EUR,0,0,100047
273,2.35,EUR,0,0,100047
274,2.60,EUR,0,0,100047
275,2.15,EUR,0,0,100047
276,1.55,EUR,0,0,100047
277,2.05,EUR,0,0,100047
278,2.40,EUR,0,0,100047
279,2.25,EUR,0,0,100047
280,2.70,EUR,0,0,100047
281,2.45,EUR,0,0,100047
282,2.75,EUR,0,0,100047
283,2.55,EUR,0,0,100047
284,2.80,EUR,0,0,100047
285,2.65,EUR,0,0,100047
286,0.55,EUR,0,0,60
287,3.35,EUR,0,0,60
288,4.40,EUR,0,0,60
289,3.05,EUR,0,0,60
290,4.15,EUR,0,0,60
291,3.30,EUR,0,0,60
292,4.10,EUR,0,0,60
293,3.25,EUR,0,0,60
294,3.10,EUR,0,0,60
295,3.60,EUR,0,0,60
296,3.15,EUR,0,0,60
297,3.50,EUR,0,0,60
298,3.20,EUR,0,0,60
299,3.55,EUR,0,0,60
300,3.45,EUR,0,0,60
301,3.95,EUR,0,0,60
302,3.80,EUR,0,0,60
303,3.90,EUR,0,0,60
304,3.40,EUR,0,0,60
305,3.75,EUR,0,0,60
306,3.85,EUR,0,0,60
307,3.65,EUR,0,0,60
308,4.00,EUR,0,0,60
309,3.70,EUR,0,0,60
310,4.05,EUR,0,0,60
311,4.35,EUR,0,0,60
312,4.20,EUR,0,0,60
313,3.00,EUR,0,0,100047
314,2.95,EUR,0,0,100047
315,2.90,EUR,0,0,100047
316,2.85,EUR,0,0,100047
317,1.55,EUR,0,0,71
318,1.95,EUR,0,0,71
319,1.85,EUR,0,0,71
320,2.05,EUR,0,0,71
321,1.75,EUR,0,0,71
322,1.65,EUR,0,0,71
323,1.60,EUR,0,0,99
324,0.65,EUR,0,0,317
325,0.75,EUR,0,0,317
326,0.55,EUR,0,0,317
327,0.45,EUR,0,0,317
328,0.35,EUR,0,0,317
329,1.15,EUR,0,0,317
330,0.95,EUR,0,0,317
331,0.85,EUR,0,0,317
332,0.40,EUR,0,0,317
333,1.35,EUR,0,0,317
334,1.05,EUR,0,0,317
335,2.30,EUR,0,0,99
336,99.90,EUR,0,0,60
337,2.25,EUR,0,0,71
338,2.70,EUR,0,0,71
339,2.60,EUR,0,0,71
340,2.50,EUR,0,0,71
341,2.80,EUR,0,0,71
342,2.90,EUR,0,0,71
343,3.00,EUR,0,0,71
344,3.40,EUR,0,0,71
345,3.10,EUR,0,0,71
346,3.50,EUR,0,0,71
347,3.20,EUR,0,0,71
348,3.30,EUR,0,0,71
349,3.60,EUR,0,0,71
350,3.00,EUR,0,0,99
351,2.15,EUR,0,0,219
352,2.45,EUR,0,0,219
353,2.65,EUR,0,0,219
354,1.90,EUR,0,0,219
355,2.35,EUR,0,0,219
356,1.45,EUR,0,0,317
357,1.95,EUR,0,0,317
358,1.25,EUR,0,0,317
359,1.55,EUR,0,0,317
360,1.85,EUR,0,0,317
361,1.65,EUR,0,0,317
362,5.75,EUR,0,0,71
363,4.15,EUR,0,0,71
364,3.85,EUR,0,0,71
365,5.10,EUR,0,0,71
366,6.05,EUR,0,0,71
367,5.45,EUR,0,0,71
368,4.45,EUR,0,0,71
369,7.05,EUR,0,0,71
370,8.30,EUR,0,0,71
371,8.00,EUR,0,0,71
372,9.25,EUR,0,0,71
373,4.80,EUR,0,0,71
374,8.65,EUR,0,0,71
375,8.95,EUR,0,0,71
376,6.40,EUR,0,0,71
377,2.55,EUR,0,0,71
378,7.35,EUR,0,0,71
379,6.70,EUR,0,0,71
380,9.60,EUR,0,0,71
381,9.90,EUR,0,0,71
382,7.65,EUR,0,0,71
383,3.35,EUR,0,0,317
384,3.95,EUR,0,0,317
385,2.50,EUR,0,0,317
386,2.45,EUR,0,0,317
387,2.90,EUR,0,0,317
388,1.75,EUR,0,0,317
389,3.60,EUR,0,0,317
390,3.50,EUR,0,0,317
391,3.05,EUR,0,0,317
392,2.40,EUR,0,0,317
393,4.85,EUR,0,0,317
394,2.35,EUR,0,0,317
395,2.55,EUR,0,0,317
396,5.35,EUR,0,0,317
397,4.90,EUR,0,0,317
398,4.70,EUR,0,0,317
399,3.90,EUR,0,0,317
400,5.30,EUR,0,0,317
401,2.95,EUR,0,0,317
402,2.25,EUR,0,0,317
403,3.80,EUR,0,0,317
404,3.85,EUR,0,0,317
405,2.80,EUR,0,0,317
406,3.30,EUR,0,0,317
407,5.70,EUR,0,0,317
408,3.00,EUR,0,0,317
409,4.10,EUR,0,0,317
410,2.65,EUR,0,0,317
411,4.30,EUR,0,0,317
412,3.40,EUR,0,0,317
413,2.85,EUR,0,0,317
414,3.45,EUR,0,0,317
415,2.60,EUR,0,0,317
416,5.15,EUR,0,0,317
417,2.70,EUR,0,0,317
418,5.05,EUR,0,0,317
419,3.75,EUR,0,0,317
420,3.20,EUR,0,0,317
421,4.05,EUR,0,0,317
422,4.50,EUR,0,0,317
423,2.75,EUR,0,0,317
424,3.15,EUR,0,0,317
425,4.20,EUR,0,0,317
426,5.10,EUR,0,0,317
427,3.10,EUR,0,0,317
428,4.65,EUR,0,0,317
429,2.05,EUR,0,0,317
430,2.15,EUR,0,0,317
431,4.80,EUR,0,0,317
432,5.55,EUR,0,0,317
433,4.25,EUR,0,0,317
434,4.40,EUR,0,0,317
435,3.25,EUR,0,0,317
436,3.70,EUR,0,0,317
437,4.75,EUR,0,0,317
438,5.25,EUR,0,0,317
439,4.00,EUR,0,0,317
440,4.95,EUR,0,0,317
441,5.40,EUR,0,0,317
442,4.45,EUR,0,0,317
443,4.35,EUR,0,0,317
444,3.55,EUR,0,0,317
445,4.15,EUR,0,0,317
446,3.65,EUR,0,0,317
447,5.00,EUR,0,0,317
448,4.55,EUR,0,0,317
449,4.60,EUR,0,0,317
450,0.00,EUR,0,0,317
451,5.45,EUR,0,0,317
452,2.80,EUR,0,0,25
453,3.25,EUR,0,0,25
454,2.50,EUR,0,0,25
455,2.95,EUR,0,0,25
456,2.35,EUR,0,0,25
457,2.65,EUR,0,0,25
458,2.10,EUR,0,0,25
459,3.15,EUR,0,0,25
460,2.45,EUR,0,0,25
461,3.40,EUR,0,0,25
462,2.60,EUR,0,0,25
463,2.90,EUR,0,0,25
464,2.70,EUR,0,0,25
465,2.75,EUR,0,0,25
466,3.10,EUR,0,0,25
467,2.40,EUR,0,0,25
468,2.55,EUR,0,0,25
469,3.50,EUR,0,0,25
470,2.25,EUR,0,0,25
471,3.30,EUR,0,0,25
472,3.05,EUR,0,0,25
473,3.00,EUR,0,0,25
474,3.20,EUR,0,0,25
475,2.85,EUR,0,0,25
476,1.90,EUR,0,0,82
477,2.50,EUR,0,0,82
478,2.40,EUR,0,0,82
479,1.20,EUR,0,0,82
480,2.00,EUR,0,0,82
481,4.00,EUR,0,0,82
482,3.20,EUR,0,0,82
483,3.10,EUR,0,0,82
484,4.30,EUR,0,0,82
485,4.90,EUR,0,0,82
486,1.70,EUR,0,0,82
487,5.50,EUR,0,0,82
488,1.30,EUR,0,0,82
489,3.00,EUR,0,0,82
490,0.90,EUR,0,0,82
491,3.70,EUR,0,0,82
492,4.10,EUR,0,0,82
493,3.60,EUR,0,0,82
494,0.90,EUR,0,0,117
495,1.60,EUR,0,0,117
496,1.60,EUR,0,0,295
497,3.00,EUR,0,0,295
498,0.90,EUR,0,0,295
499,2.30,EUR,0,0,295
500,4.25,EUR,0,0,60
501,4.30,EUR,0,0,60
502,4.50,EUR,0,0,60
503,3.70,EUR,0,0,100046
504,5.10,EUR,0,0,100046
505,4.40,EUR,0,0,100046
506,3.80,EUR,0,0,82
507,5.60,EUR,0,0,82
508,5.70,EUR,0,0,82
509,2.90,EUR,0,0,82
510,1.40,EUR,0,0,82
511,2.70,EUR,0,0,82
512,4.50,EUR,0,0,82
513,7.40,EUR,0,0,82
514,4.20,EUR,0,0,82
515,6.70,EUR,0,0,82
516,5.00,EUR,0,0,82
517,6.20,EUR,0,0,82
518,2.20,EUR,0,0,82
519,7.80,EUR,0,0,82
520,2.80,EUR,0,0,82
521,5.40,EUR,0,0,82
522,10.40,EUR,0,0,82
523,1.00,EUR,0,0,82
524,7.70,EUR,0,0,82
525,6.80,EUR,0,0,82
526,3.30,EUR,0,0,82
527,9.30,EUR,0,0,82
528,5.20,EUR,0,0,82
529,2.10,EUR,0,0,82
530,8.60,EUR,0,0,82
531,9.70,EUR,0,0,82
532,4.70,EUR,0,0,82
533,1.60,EUR,0,0,82
534,1.10,EUR,0,0,82
535,4.40,EUR,0,0,82
536,4.80,EUR,0,0,82
537,5.90,EUR,0,0,82
538,5.80,EUR,0,0,82
539,1.80,EUR,0,0,82
540,3.40,EUR,0,0,82
541,3.50,EUR,0,0,82
542,11.40,EUR,0,0,82
543,9.10,EUR,0,0,82
544,5.10,EUR,0,0,82
545,6.10,EUR,0,0,82
546,8.50,EUR,0,0,82
547,8.00,EUR,0,0,82
548,6.40,EUR,0,0,82
549,2.60,EUR,0,0,82
550,1.10,EUR,0,0,74
551,1.40,EUR,0,0,74
552,2.40,EUR,0,0,74
553,0.50,EUR,0,0,74
554,1.70,EUR,0,0,74
555,0.60,EUR,0,0,74
556,0.80,EUR,0,0,74
557,0.70,EUR,0,0,74
558,1.90,EUR,0,0,74
559,2.20,EUR,0,0,74
